epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.03691275167785235,4.5576300640575225,0.08668730650154799,4.0639894008636475
2,0.11228704181724317,3.7932538653983445,0.15583075335397317,3.5762395781855427
3,0.178884873515746,3.3993067057406314,0.21775025799793601,3.318642270180487
4,0.2219927723283428,3.1389041513693137,0.26006191950464397,3.1426540190173733
5,0.2880743417656169,2.9310053489247307,0.2776057791537668,3.0125794179977907
6,0.3304078471863707,2.7617414564382834,0.2899896800825593,2.9369616739211546
7,0.3647392875580795,2.590069395596864,0.2982456140350877,2.8279247283935547
8,0.3982963345379453,2.4643973835179063,0.33126934984520123,2.7349983953660533
9,0.4357253484770263,2.3098102837312418,0.35190918472652216,2.674763064230642
10,0.46205472379969026,2.1901248273302296,0.34674922600619196,2.6507663034623667
